站名,平均氣溫,絕對最高氣溫,絕對最低氣溫,總日照時數h,總日射量MJ/ m2,Year,Month,行政區
茶改場,15.3,25.5,7.6,63.3,*176.74,1999,1,桃園市
桃園農改,16.1,23.3,8.8,65.7,175.6,1999,1,桃園市
五峰站,11.9,21.1,3.5,88.6,227.5,1999,1,新竹縣
苗栗農改,15.7,25.7,8.6,,,1999,1,苗栗縣
台中農改,17.1,27.4,10.7,166.4,237.07,1999,1,台中市
臺大溪頭,12.9,20.6,7.6,,254.8,1999,1,南投縣
雲林分場,17.1,28.3,9.4,131.7,285.32,1999,1,雲林縣
義竹分場,17.3,28.1,11.2,,373.17,1999,1,嘉義縣
畜試所,17.8,29.8,11.1,116.7,15.47,1999,1,臺南市
高雄農改,20.2,30.3,13.4,138.6,250.7,1999,1,屏東縣
恆春畜試,21.7,28.8,16.6,127.7,394.93,1999,1,屏東縣
蘭陽分場,16.9,27.6,10.3,37,154.52,1999,1,宜蘭縣
花蓮農改,18.2,26.7,12.7,43.6,94.04,1999,1,花蓮縣
斑鳩分場,19.2,29.1,13.3,67.9,176.9,1999,1,台東縣
農業試驗所,17.2,28.5,9.5,118.5,267.6,1999,1,台中市
桃園農改,15.8,26.9,8.1,138.1,264.2,1999,2,桃園市
茶改場,15.1,27.2,6,126.3,246.72,1999,2,桃園市
五峰站,11.5,23.7,-0.8,127.3,309.1,1999,2,新竹縣
苗栗農改,15.6,28.6,3,,,1999,2,苗栗縣
農業試驗所,17.5,30.1,5.3,147.1,302.57,1999,2,台中市
臺中農改,17.4,29,6.4,213.7,287.33,1999,2,彰化縣
臺大溪頭,,,,,,1999,2,南投縣
雲林分場,17.4,29.8,4.1,180,325.14,1999,2,雲林縣
義竹分場,17.8,30.3,5.1,,455.3,1999,2,嘉義縣
畜試所,18.3,30.3,5.1,185,17.02,1999,2,臺南市
恆春畜試,21.3,29.6,14.5,184.4,471.06,1999,2,屏東縣
高雄農改,20.3,30.3,9.7,165.2,290.7,1999,2,屏東縣
蘭陽分場,16.6,28.5,5.8,86.6,232.1,1999,2,宜蘭縣
花蓮農改,17.5,28,8.4,66,127.8,1999,2,花蓮縣
斑鳩分場,17.1,28.8,8.9,78.9,189.85,1999,2,台東縣
桃園農改,18.5,30,12.5,68.3,200.61,1999,3,桃園市
茶改場,17.7,30.2,11.1,60,191.7,1999,3,桃園市
五峰站,15.4,27.8,7.6,101.2,301.53,1999,3,新竹縣
苗栗農改,19,32,12.1,,,1999,3,苗栗縣
農業試驗所,21.3,33.1,13.7,112.5,309.53,1999,3,台中市
臺中農改,20.7,32.9,13,178.9,300.46,1999,3,彰化縣
臺大溪頭,,,,,,1999,3,南投縣
雲林分場,21.3,33.5,13.1,148.1,369.08,1999,3,雲林縣
義竹分場,21.6,34.6,13.5,,502.5,1999,3,嘉義縣
畜試所,22.4,35.1,14.2,137.9,297.99,1999,3,臺南市
恆春畜試,*24.9,*36.1,*19.5,*155.0,*438.68,1999,3,屏東縣
高雄農改,24.2,32.9,17.7,158.4,346.56,1999,3,屏東縣
蘭陽分場,20.4,30.7,13.1,103.8,309.41,1999,3,宜蘭縣
花蓮農改,21.1,30.1,14.7,79.5,158.9,1999,3,花蓮縣
斑鳩分場,21.1,34.9,14.9,88.4,238.95,1999,3,台東縣
茶改場,21.1,30.1,12.8,126.3,347.99,1999,4,桃園市
桃園農改,21.7,29.8,13.8,134.4,361.21,1999,4,桃園市
五峰站,17.9,27.3,10.6,109.7,353.18,1999,4,新竹縣
苗栗農改,22.2,31.5,14,,,1999,4,苗栗縣
台中農改,23.4,30.5,16.9,166.3,343.22,1999,4,台中市
臺大溪頭,17.3,24.8,11.4,,242.17,1999,4,南投縣
雲林分場,23.7,33.2,16.1,145.9,400.39,1999,4,雲林縣
義竹分場,24,33,16.4,,536.97,1999,4,嘉義縣
畜試所,24.5,33.9,15.9,140.3,415.64,1999,4,臺南市
高雄農改,25.3,32.3,18.1,140.7,341.95,1999,4,屏東縣
恆春畜試,24.9,31.9,19.4,194.5,601.34,1999,4,屏東縣
蘭陽分場,21.4,29.5,14.2,118.5,343.88,1999,4,宜蘭縣
花蓮農改,22,30.7,13.5,47.4,167.6,1999,4,花蓮縣
斑鳩分場,21.7,32.7,12.7,71,240.55,1999,4,台東縣
農業試驗所,23.8,31.3,16.9,84,354.11,1999,4,台中市
茶改場,22.4,33.5,13.7,108.3,351.55,1999,5,桃園市
桃園農改,23.1,32,14.9,96.1,348.56,1999,5,桃園市
五峰站,18.8,30,12,91,345.38,1999,5,新竹縣
苗栗農改,23.3,33.4,14.5,,438.04,1999,5,苗栗縣
台中農改,24.3,33.3,16.4,141,334.19,1999,5,台中市
臺大溪頭,17.9,25.4,12.7,,263.04,1999,5,南投縣
雲林分場,24.4,34.8,16.5,123.1,386.45,1999,5,雲林縣
義竹分場,24.6,33.9,16.6,,506.15,1999,5,嘉義縣
畜試所,25,34.6,17,126.8,377.83,1999,5,臺南市
高雄農改,26,34.2,18.5,140.5,358.07,1999,5,屏東縣
恆春畜試,25.7,32.9,18.6,144.8,591,1999,5,屏東縣
蘭陽分場,22.6,31.4,14.6,94.6,360.51,1999,5,宜蘭縣
花蓮農改,23,31.7,15.3,82.4,189.6,1999,5,花蓮縣
斑鳩分場,22.8,35.4,15,82.3,287.38,1999,5,台東縣
農業試驗所,24.3,33.1,15.5,95.7,333.96,1999,5,台中市
茶改場,26.7,34,20.7,184.8,453.17,1999,6,桃園市
桃園農改,27.3,33.4,22.1,162.7,478.27,1999,6,桃園市
五峰站,22.1,30.5,18.3,153.9,450.81,1999,6,新竹縣
苗栗農改,27.2,33,22,,562.74,1999,6,苗栗縣
台中農改,27.9,33.7,22.4,217.5,398.88,1999,6,台中市
臺大溪頭,20.1,27.4,16,,276.07,1999,6,南投縣
雲林分場,27.9,36.7,22.2,187.2,455.42,1999,6,雲林縣
義竹分場,28,33.6,22.8,,602.47,1999,6,嘉義縣
畜試所,27.8,34.9,23.2,160.1,411.17,1999,6,臺南市
高雄農改,28.2,34,23.1,180,391.42,1999,6,屏東縣
恆春畜試,28,32.8,23.5,128.3,600.47,1999,6,屏東縣
蘭陽分場,26.9,33.6,20.6,164.4,505.61,1999,6,宜蘭縣
花蓮農改,27.1,33,21.8,154.5,262.56,1999,6,花蓮縣
斑鳩分場,26.1,34.2,21.2,109.3,320.76,1999,6,台東縣
農業試驗所,27.3,34.3,22.5,137.8,400.15,1999,6,台中市
茶改場,27.8,35.2,23,163.5,457.16,1999,7,桃園市
桃園農改,*28.6,*36.7,*23.4,*160.0,*467.02,1999,7,桃園市
五峰站,22.4,30.5,0,*108.1,398.33,1999,7,新竹縣
苗栗農改,27.7,35.7,23.2,,499.34,1999,7,苗栗縣
台中農改,28,33.9,23.6,209.1,341.34,1999,7,台中市
臺大溪頭,20.4,27.3,16.3,,279.81,1999,7,南投縣
雲林分場,27.7,35.7,23,117.4,370.74,1999,7,雲林縣
義竹分場,27.6,34.3,23.2,,464.76,1999,7,嘉義縣
畜試所,27.2,34.9,23.3,97.9,*235.05,1999,7,臺南市
高雄農改,27.5,34.1,23.5,107.4,324.82,1999,7,屏東縣
恆春畜試,28.4,33,24.4,100.2,552.78,1999,7,屏東縣
蘭陽分場,28,33.9,23.4,156.3,530.14,1999,7,宜蘭縣
花蓮農改,28,33.4,23,167.5,278.31,1999,7,花蓮縣
斑鳩分場,26.9,35,22.1,110.2,350.27,1999,7,台東縣
