站名,平均氣溫,絕對最高氣溫,絕對最低氣溫,總日照時數h,總日射量MJ/ m2,Year,Month,行政區,days_in_month,平均每日日照時數,平均每日日射量,ESH
茶改場,15.3,25.5,7.6,63.3,,1999,1,桃園市,31,2.041935483870968,,
桃園農改,16.1,23.3,8.8,65.7,175.6,1999,1,桃園市,31,2.1193548387096777,5.664516129032258,1.5736025806451612
五峰站,11.9,21.1,3.5,88.6,227.5,1999,1,新竹縣,31,2.858064516129032,7.338709677419355,2.038693548387097
苗栗農改,15.7,25.7,8.6,,,1999,1,苗栗縣,31,,,
台中農改,17.1,27.4,10.7,166.4,237.07,1999,1,台中市,31,5.367741935483871,7.64741935483871,2.1244530967741935
臺大溪頭,12.9,20.6,7.6,,254.8,1999,1,南投縣,31,,8.219354838709679,2.2833367741935486
雲林分場,17.1,28.3,9.4,131.7,285.32,1999,1,雲林縣,31,4.248387096774193,9.203870967741937,2.55683535483871
義竹分場,17.3,28.1,11.2,,373.17,1999,1,嘉義縣,31,,12.037741935483872,3.3440847096774196
畜試所,17.8,29.8,11.1,116.7,15.47,1999,1,臺南市,31,3.764516129032258,0.4990322580645162,0.1386311612903226
高雄農改,20.2,30.3,13.4,138.6,250.7,1999,1,屏東縣,31,4.470967741935484,8.087096774193547,2.2465954838709674
恆春畜試,21.7,28.8,16.6,127.7,394.93,1999,1,屏東縣,31,4.119354838709677,12.73967741935484,3.5390823870967743
蘭陽分場,16.9,27.6,10.3,37.0,154.52,1999,1,宜蘭縣,31,1.1935483870967742,4.984516129032259,1.3846985806451615
花蓮農改,18.2,26.7,12.7,43.6,94.04,1999,1,花蓮縣,31,1.4064516129032258,3.0335483870967743,0.8427197419354839
斑鳩分場,19.2,29.1,13.3,67.9,176.9,1999,1,台東縣,31,2.1903225806451614,5.706451612903226,1.5852522580645163
農業試驗所,17.2,28.5,9.5,118.5,267.6,1999,1,台中市,31,3.8225806451612905,8.63225806451613,2.3980412903225807
桃園農改,15.8,26.9,8.1,138.1,264.2,1999,2,桃園市,28,4.932142857142857,9.435714285714283,2.6212414285714276
茶改場,15.1,27.2,6,126.3,246.72,1999,2,桃園市,28,4.510714285714285,8.811428571428571,2.447814857142857
五峰站,11.5,23.7,-0.8,127.3,309.1,1999,2,新竹縣,28,4.546428571428572,11.039285714285716,3.066713571428572
苗栗農改,15.6,28.6,3,,,1999,2,苗栗縣,28,,,
農業試驗所,17.5,30.1,5.3,147.1,302.57,1999,2,台中市,28,5.253571428571428,10.806071428571428,3.0019266428571427
臺中農改,17.4,29,6.4,213.7,287.33,1999,2,彰化縣,28,7.632142857142857,10.261785714285711,2.8507240714285706
臺大溪頭,,,,,,1999,2,南投縣,28,,,
雲林分場,17.4,29.8,4.1,180.0,325.14,1999,2,雲林縣,28,6.428571428571429,11.612142857142857,3.2258532857142854
義竹分場,17.8,30.3,5.1,,455.3,1999,2,嘉義縣,28,,16.260714285714286,4.517226428571429
畜試所,18.3,30.3,5.1,185.0,17.02,1999,2,臺南市,28,6.607142857142857,0.6078571428571429,0.16886271428571428
恆春畜試,21.3,29.6,14.5,184.4,471.06,1999,2,屏東縣,28,6.585714285714286,16.82357142857143,4.6735881428571435
高雄農改,20.3,30.3,9.7,165.2,290.7,1999,2,屏東縣,28,5.9,10.382142857142856,2.8841592857142855
蘭陽分場,16.6,28.5,5.8,86.6,232.1,1999,2,宜蘭縣,28,3.0928571428571425,8.289285714285715,2.3027635714285712
花蓮農改,17.5,28,8.4,66.0,127.8,1999,2,花蓮縣,28,2.357142857142857,4.564285714285714,1.2679585714285713
斑鳩分場,17.1,28.8,8.9,78.9,189.85,1999,2,台東縣,28,2.817857142857143,6.780357142857143,1.8835832142857143
桃園農改,18.5,30,12.5,68.3,200.61,1999,3,桃園市,31,2.203225806451613,6.4712903225806455,1.7977244516129032
茶改場,17.7,30.2,11.1,60.0,191.7,1999,3,桃園市,31,1.935483870967742,6.183870967741935,1.7178793548387095
五峰站,15.4,27.8,7.6,101.2,301.53,1999,3,新竹縣,31,3.264516129032258,9.726774193548389,2.702097870967742
苗栗農改,19,32,12.1,,,1999,3,苗栗縣,31,,,
農業試驗所,21.3,33.1,13.7,112.5,309.53,1999,3,台中市,31,3.629032258064516,9.98483870967742,2.7737881935483872
臺中農改,20.7,32.9,13,178.9,300.46,1999,3,彰化縣,31,5.770967741935484,9.692258064516128,2.6925092903225805
臺大溪頭,,,,,,1999,3,南投縣,31,,,
雲林分場,21.3,33.5,13.1,148.1,369.08,1999,3,雲林縣,31,4.77741935483871,11.905806451612902,3.307433032258064
義竹分場,21.6,34.6,13.5,,502.5,1999,3,嘉義縣,31,,16.20967741935484,4.503048387096775
畜試所,22.4,35.1,14.2,137.9,297.99,1999,3,臺南市,31,4.448387096774193,9.612580645161293,2.670374903225807
恆春畜試,*24.9,*36.1,*19.5,,,1999,3,屏東縣,31,,,
高雄農改,24.2,32.9,17.7,158.4,346.56,1999,3,屏東縣,31,5.109677419354839,11.179354838709678,3.1056247741935485
蘭陽分場,20.4,30.7,13.1,103.8,309.41,1999,3,宜蘭縣,31,3.3483870967741933,9.980967741935483,2.772712838709677
花蓮農改,21.1,30.1,14.7,79.5,158.9,1999,3,花蓮縣,31,2.564516129032258,5.125806451612903,1.4239490322580646
斑鳩分場,21.1,34.9,14.9,88.4,238.95,1999,3,台東縣,31,2.851612903225807,7.708064516129032,2.141300322580645
茶改場,21.1,30.1,12.8,126.3,347.99,1999,4,桃園市,30,4.21,11.599666666666668,3.2223874
桃園農改,21.7,29.8,13.8,134.4,361.21,1999,4,桃園市,30,4.48,12.040333333333333,3.3448046
五峰站,17.9,27.3,10.6,109.7,353.18,1999,4,新竹縣,30,3.6566666666666663,11.772666666666668,3.2704468
苗栗農改,22.2,31.5,14,,,1999,4,苗栗縣,30,,,
台中農改,23.4,30.5,16.9,166.3,343.22,1999,4,台中市,30,5.543333333333334,11.440666666666669,3.1782172000000006
臺大溪頭,17.3,24.8,11.4,,242.17,1999,4,南投縣,30,,8.072333333333333,2.2424942
雲林分場,23.7,33.2,16.1,145.9,400.39,1999,4,雲林縣,30,4.863333333333333,13.346333333333332,3.7076113999999993
義竹分場,24,33,16.4,,536.97,1999,4,嘉義縣,30,,17.899,4.9723422
畜試所,24.5,33.9,15.9,140.3,415.64,1999,4,臺南市,30,4.676666666666667,13.854666666666668,3.8488264000000005
高雄農改,25.3,32.3,18.1,140.7,341.95,1999,4,屏東縣,30,4.69,11.398333333333332,3.1664569999999994
恆春畜試,24.9,31.9,19.4,194.5,601.34,1999,4,屏東縣,30,6.483333333333333,20.044666666666668,5.5684084
蘭陽分場,21.4,29.5,14.2,118.5,343.88,1999,4,宜蘭縣,30,3.95,11.462666666666667,3.1843288
花蓮農改,22,30.7,13.5,47.4,167.6,1999,4,花蓮縣,30,1.5799999999999998,5.586666666666667,1.551976
斑鳩分場,21.7,32.7,12.7,71.0,240.55,1999,4,台東縣,30,2.3666666666666667,8.018333333333334,2.2274930000000004
農業試驗所,23.8,31.3,16.9,84.0,354.11,1999,4,台中市,30,2.8,11.803666666666668,3.2790586000000004
茶改場,22.4,33.5,13.7,108.3,351.55,1999,5,桃園市,31,3.4935483870967743,11.34032258064516,3.1503416129032256
桃園農改,23.1,32,14.9,96.1,348.56,1999,5,桃園市,31,3.1,11.243870967741936,3.12354735483871
五峰站,18.8,30,12,91.0,345.38,1999,5,新竹縣,31,2.935483870967742,11.141290322580645,3.095050451612903
苗栗農改,23.3,33.4,14.5,,438.04,1999,5,苗栗縣,31,,14.130322580645162,3.9254036129032257
台中農改,24.3,33.3,16.4,141.0,334.19,1999,5,台中市,31,4.548387096774194,10.78032258064516,2.9947736129032254
臺大溪頭,17.9,25.4,12.7,,263.04,1999,5,南投縣,31,,8.485161290322582,2.357177806451613
雲林分場,24.4,34.8,16.5,123.1,386.45,1999,5,雲林縣,31,3.970967741935484,12.466129032258063,3.46309064516129
義竹分場,24.6,33.9,16.6,,506.15,1999,5,嘉義縣,31,,16.32741935483871,4.535757096774193
畜試所,25,34.6,17,126.8,377.83,1999,5,臺南市,31,4.090322580645161,12.188064516129032,3.385844322580645
高雄農改,26,34.2,18.5,140.5,358.07,1999,5,屏東縣,31,4.532258064516129,11.550645161290324,3.208769225806452
恆春畜試,25.7,32.9,18.6,144.8,591.0,1999,5,屏東縣,31,4.670967741935484,19.06451612903226,5.296122580645162
蘭陽分場,22.6,31.4,14.6,94.6,360.51,1999,5,宜蘭縣,31,3.051612903225806,11.629354838709675,3.2306347741935477
花蓮農改,23,31.7,15.3,82.4,189.6,1999,5,花蓮縣,31,2.6580645161290324,6.116129032258065,1.6990606451612902
斑鳩分場,22.8,35.4,15,82.3,287.38,1999,5,台東縣,31,2.6548387096774198,9.27032258064516,2.5752956129032256
農業試驗所,24.3,33.1,15.5,95.7,333.96,1999,5,台中市,31,3.0870967741935487,10.77290322580645,2.992712516129032
茶改場,26.7,34,20.7,184.8,453.17,1999,6,桃園市,30,6.16,15.105666666666668,4.1963542
桃園農改,27.3,33.4,22.1,162.7,478.27,1999,6,桃園市,30,5.423333333333333,15.942333333333332,4.428780199999999
五峰站,22.1,30.5,18.3,153.9,450.81,1999,6,新竹縣,30,5.13,15.027,4.1745006
苗栗農改,27.2,33,22,,562.74,1999,6,苗栗縣,30,,18.758,5.210972399999999
台中農改,27.9,33.7,22.4,217.5,398.88,1999,6,台中市,30,7.25,13.296,3.6936287999999995
臺大溪頭,20.1,27.4,16,,276.07,1999,6,南投縣,30,,9.202333333333334,2.5564082
雲林分場,27.9,36.7,22.2,187.2,455.42,1999,6,雲林縣,30,6.239999999999999,15.180666666666667,4.2171892
義竹分場,28,33.6,22.8,,602.47,1999,6,嘉義縣,30,,20.08233333333333,5.578872199999999
畜試所,27.8,34.9,23.2,160.1,411.17,1999,6,臺南市,30,5.336666666666667,13.705666666666668,3.8074342000000003
高雄農改,28.2,34,23.1,180.0,391.42,1999,6,屏東縣,30,6.0,13.047333333333334,3.6245492
恆春畜試,28,32.8,23.5,128.3,600.47,1999,6,屏東縣,30,4.276666666666667,20.015666666666668,5.5603522000000005
蘭陽分場,26.9,33.6,20.6,164.4,505.61,1999,6,宜蘭縣,30,5.48,16.853666666666665,4.681948599999999
花蓮農改,27.1,33,21.8,154.5,262.56,1999,6,花蓮縣,30,5.15,8.752,2.4313056
斑鳩分場,26.1,34.2,21.2,109.3,320.76,1999,6,台東縣,30,3.643333333333333,10.692,2.9702376
農業試驗所,27.3,34.3,22.5,137.8,400.15,1999,6,台中市,30,4.593333333333334,13.338333333333331,3.7053889999999994
茶改場,27.8,35.2,23,163.5,457.16,1999,7,桃園市,31,5.274193548387097,14.74709677419355,4.096743483870968
