,縣市,縣市據點數,dbscan組,一銀,中信,元大,兆豐,台新,合庫,國世,土銀,彰銀,永豐,玉山,臺企,臺銀,華銀,郵局,dbs據點數,dbs據點比
0,南投縣,367,-1,0.0,41.0,0.0,0.0,34.0,7.0,23.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,15.0,124.0,33.787
1,南投縣,367,0,1.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,4.0,26.0,7.084
2,南投縣,367,1,1.0,5.0,0.0,0.0,6.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,24.0,6.54
3,南投縣,367,2,1.0,2.0,1.0,0.0,6.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,21.0,5.722
4,南投縣,367,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.09
5,南投縣,367,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.545
6,南投縣,367,5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,1.907
7,南投縣,367,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,1.09
8,南投縣,367,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.545
9,南投縣,367,8,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.09
10,南投縣,367,9,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.09
11,南投縣,367,10,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.362
