country_ch,country_en,cases,deaths
美國,United States,"35,737,422","627,861"
印度,India,"31,856,757","426,754"
巴西,Brazil,"20,108,746","561,762"
俄羅斯,Russia,"6,402,564","163,301"
法國,France,"6,258,953","112,190"
英國,United Kingdom,"6,014,023","130,178"
土耳其,Turkey,"5,870,741","51,976"
阿根廷,Argentina,"5,002,951","107,213"
哥倫比亞,Colombia,"4,828,583","122,087"
西班牙,Spain,"4,588,132","82,006"
義大利,Italy,"4,383,787","128,187"
伊朗,Iran,"4,092,671","93,086"
德國,Germany,"3,784,433","91,754"
印尼,Indonesia,"3,607,863","104,010"
墨西哥,Mexico,"2,922,663","243,165"
波蘭,Poland,"2,883,796","75,281"
南非,South Africa,"2,511,178","74,352"
烏克蘭,Ukraine,"2,257,478","53,065"
秘魯,Peru,"2,121,061","196,760"
荷蘭,Netherlands,"1,881,121","17,858"
伊拉克,Iraq,"1,696,390","19,087"
捷克,Czech Republic,"1,674,577","30,367"
菲律賓,Philippines,"1,638,345","28,673"
智利,Chile,"1,621,571","35,880"
加拿大,Canada,"1,436,182","26,637"
孟加拉,Bangladesh,"1,335,260","22,150"
馬來西亞,Malaysia,"1,224,595","10,179"
比利時,Belgium,"1,134,907","25,264"
瑞典,Sweden,"1,104,538","14,657"
羅馬尼亞,Romania,"1,084,456","34,305"
巴基斯坦,Pakistan,"1,058,405","23,702"
日本,Japan,"1,002,093","15,261"
葡萄牙,Portugal,"982,364","17,440"
以色列,Israel,"893,105","6,516"
匈牙利,Hungary,"809,855","30,033"
約旦,Jordan,"775,782","10,105"
塞爾維亞,Serbia,"724,661","7,133"
瑞士,Switzerland,"723,968","10,411"
泰國,Thailand,"714,684","5,854"
尼泊爾,Nepal,"710,509","10,019"
阿拉伯聯合大公國,UAE,"690,009","1,969"
摩洛哥,Morocco,"676,683","10,163"
奧地利,Austria,"661,922","10,748"
哈薩克,Kazakhstan,"618,513","6,531"
突尼西亞,Tunisia,"605,205","20,679"
黎巴嫩,Lebanon,"568,505","7,932"
沙烏地阿拉伯,Saudi Arabia,"531,935","8,311"
希臘,Greece,"509,596","13,021"
厄瓜多,Ecuador,"491,185","31,774"
玻利維亞,Bolivia,"476,795","17,935"
巴拉圭,Paraguay,"454,194","15,207"
白俄羅斯,Belarus,"451,740","3,513"
喬治亞,Georgia,"440,353","6,016"
古巴,Cuba,"439,899","3,259"
巴拿馬,Panama,"439,599","6,875"
保加利亞,Bulgaria,"427,481","18,251"
哥斯大黎加,Costa Rica,"416,677","5,124"
科威特,Kuwait,"402,293","2,361"
斯洛伐克,Slovakia,"392,963","12,541"
瓜地馬拉,Guatemala,"385,512","10,644"
烏拉圭,Uruguay,"382,295","5,986"
克羅埃西亞,Croatia,"364,599","8,270"
亞塞拜然,Azerbaijan,"349,316","5,051"
巴勒斯坦,Palestine,"346,578","3,879"
多明尼加,Dominican,"343,829","3,973"
斯里蘭卡,Sri Lanka,"324,223","4,919"
丹麥,Denmark,"323,166","2,554"
緬甸,Myanmar,"322,838","11,262"
委內瑞拉,Venezuela,"309,981","3,666"
愛爾蘭,Ireland,"308,800","5,044"
宏都拉斯,Honduras,"304,181","8,052"
阿曼,Oman,"298,020","3,906"
立陶宛,Lithuania,"285,209","4,424"
埃及,Egypt,"284,523","16,557"
衣索比亞,Ethiopia,"283,082","4,415"
巴林,Bahrain,"269,848","1,384"
利比亞,Libya,"264,827","3,689"
摩爾多瓦,Moldova,"260,424","6,275"
斯洛維尼亞,Slovenia,"259,909","4,430"
亞美尼亞,Armenia,"231,625","4,636"
卡達,Qatar,"227,273",601
肯亞,Kenya,"209,823","4,088"
韓國,South Korea,"207,406","2,113"
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,"206,106","9,691"
尚比亞,Zambia,"199,135","3,459"
越南,Vietnam,"193,381","3,016"
阿爾及利亞,Algeria,"179,216","4,487"
奈及利亞,Nigeria,"176,577","2,178"
蒙古,Mongolia,"171,097",841
吉爾吉斯,Kyrgyzstan,"167,734","2,380"
北馬其頓,North Macedonia,"157,251","5,502"
阿富汗,Afghanistan,"150,240","6,898"
挪威,Norway,"139,955",804
拉脫維亞,Latvia,"139,284","2,559"
烏茲別克,Uzbekistan,"134,826",916
愛沙尼亞,Estonia,"134,720","1,276"
阿爾巴尼亞,Albania,"133,591","2,458"
莫三比克,Mozambique,"130,526","1,566"
波札那,Botswana,"122,574","1,704"
納米比亞,Namibia,"120,495","3,158"
辛巴威,Zimbabwe,"115,445","3,805"
芬蘭,Finland,"110,720",984
科索沃,Kosovo,"109,310","2,270"
迦納,Ghana,"106,434",854
賽普勒斯,Cyprus,"104,994",437
蒙特內哥羅,Montenegro,"103,158","1,635"
烏干達,Uganda,"95,226","2,771"
中國大陸,China,"93,605","4,636"
薩爾瓦多,El Salvador,"88,371","2,691"
喀麥隆,Cameroon,"82,064","1,334"
柬埔寨,Cambodia,"80,813","1,526"
馬爾地夫,Maldives,"78,130",222
盧安達,Rwanda,"74,993",874
盧森堡,Luxembourg,"74,262",824
塞內加爾,Senegal,"66,250","1,457"
新加坡,Singapore,"65,605",41
馬拉威,Malawi,"55,218","1,776"
牙買加,Jamaica,"54,165","1,214"
剛果民主共和國,DR Congo,"51,254","1,045"
象牙海岸,Ivory Coast,"51,028",338
安哥拉,Angola,"43,487","1,042"
馬達加斯加,Madagascar,"42,685",943
千里達及托巴哥,Trinidad and Tobago,"39,577","1,117"
蘇丹,Sudan,"37,138","2,776"
澳洲,Australia,"35,698",933
斐濟,Fiji,"35,640",290
馬爾他,Malta,"34,716",424
維德角,Cape Verde,"33,976",298
史瓦帝尼,Eswatini,"30,377",835
茅利塔尼亞,Mauritania,"27,596",592
幾內亞,Guinea,"26,477",243
敘利亞,Syria,"26,071","1,919"
蘇利南,Suriname,"25,716",658
加彭,Gabon,"25,462",165
蓋亞那,Guyana,"22,789",553
海地,Haiti,"20,363",566
塞席爾,Seychelles,"18,582",94
巴布亞紐幾內亞,Papua New Guinea,"17,774",192
多哥,Togo,"16,401",156
塔吉克,Tajikistan,"15,840",123
臺灣,Taiwan,"15,765",794
巴哈馬,Bahamas,"15,419",295
安道爾,Andorra,"14,836",128
馬利,Mali,"14,633",534
貝里斯,Belize,"14,438",339
布吉納法索,Burkina Faso,"13,607",169
賴索托,Lesotho,"13,603",377
剛果共和國,Congo,"13,216",178
索馬利亞,Somalia,"12,402",549
香港,Hong Kong,"12,005",212
吉布地,Djibouti,"11,659",156
東帝汶,East Timor,"11,386",26
南蘇丹,South Sudan,"11,100",120
赤道幾內亞,Equatorial Guinea,"8,940",123
冰島,Iceland,"8,613",30
貝南,Benin,"8,608",110
甘比亞,Gambia,"8,505",238
蒲隆地,Burundi,"8,088",38
尼加拉瓜,Nicaragua,"7,890",196
寮國,Laos,"7,778",7
中非,Central Africa,"7,151",98
葉門,Yemen,"7,131","1,384"
厄利垂亞,Eritrea,"6,576",35
獅子山,Sierra Leone,"6,310",120
聖露西亞,Saint Lucia,"5,713",90
尼日,Niger,"5,676",196
賴比瑞亞,Liberia,"5,459",148
聖馬利諾,San Marino,"5,147",90
查德,Chad,"4,977",174
幾內亞比索,Guinea-Bissau,"4,702",79
索馬利蘭,Somaliland,"4,608",311
模里西斯,Mauritius,"4,592",20
巴貝多,Barbados,"4,443",48
葛摩,Comoros,"4,030",147
列支敦斯登,Liechtenstein,"3,094",59
摩納哥,Monaco,"2,973",33
不丹,Bhutan,"2,544",2
紐西蘭,New Zealand,"2,524",26
聖多美普林西比,Sao Tome and Principe,"2,468",37
聖文森及格瑞那丁,Saint Vincent and the Grenadines,"2,298",12
安地卡及巴布達,Antigua and Barbuda,"1,320",43
坦尚尼亞,Tanzania,"1,017",21
國際運輸工具(鑽石公主號),Int'l conveyance (Japan),741,13
聖克里斯多福及尼維斯,Saint Kitts and Nevis,603,3
汶萊,Brunei,339,3
多米尼克,Dominica,218,0
格瑞那達,Grenada,164,1
澳門,Macao,63,0
教廷,Holy See,27,0
索羅門群島,Solomon islands,20,0
萬那杜,Vanuatu,4,1
馬紹爾群島,Marshall Islands,4,0
帛琉,Palau,2,0
薩摩亞,Samoa,1,0
密克羅尼西亞聯邦,Micronesia,1,0
