date,TX
2023-05-16,15690.0
2023-05-15,15510.0
2023-05-12,15508.0
2023-05-11,15518.0
2023-05-10,15609.0
2023-05-09,15739.0
2023-05-08,15723.0
2023-05-05,15643.0
2023-05-04,15609.0
2023-05-03,15552.0
2023-05-02,15636.0
2023-04-28,15573.0
2023-04-27,15427.0
2023-04-26,15375.0
2023-04-25,15388.0
2023-04-24,15623.0
2023-04-21,15615.0
2023-04-20,15731.0
2023-04-19,15778.0
2023-04-18,15890.0
2023-04-17,15970.0
2023-04-14,15947.0
2023-04-13,15816.0
2023-04-12,15926.0
2023-04-11,15921.0
2023-04-10,15849.0
2023-04-07,15818.0
2023-04-06,15760.0
2023-03-31,15864.0
2023-03-30,15821.0
2023-03-29,15740.0
2023-03-28,15690.0
2023-03-27,15831.0
2023-03-24,15912.0
2023-03-23,15837.0
2023-03-22,15712.0
2023-03-21,15455.0
2023-03-20,15373.0
2023-03-17,15403.0
2023-03-16,15227.0
2023-03-15,15328.0
2023-03-14,15352.0
2023-03-13,15520.0
2023-03-10,15484.0
2023-03-09,15767.0
2023-03-08,15785.0
2023-03-07,15874.0
2023-03-06,15774.0
2023-03-03,15619.0
2023-03-02,15542.0
2023-03-01,15544.0
2023-02-24,15542.0
2023-02-23,15597.0
2023-02-22,15376.0
2023-02-21,15528.0
2023-02-20,15522.0
2023-02-17,15433.0
2023-02-16,15546.0
2023-02-15,15361.0
2023-02-14,15661.0
2023-02-13,15533.0
2023-02-10,15575.0
2023-02-09,15601.0
2023-02-08,15604.0
2023-02-07,15396.0
2023-02-06,15405.0
2023-02-03,15579.0
2023-02-02,15580.0
2023-02-01,15383.0
2023-01-31,15268.0
2023-01-30,15458.0
2023-01-17,14925.0
2023-01-16,14936.0
2023-01-13,14833.0
2023-01-12,14768.0
2023-01-11,14792.0
2023-01-10,14808.0
2023-01-09,14769.0
2023-01-06,14364.0
2023-01-05,14289.0
2023-01-04,14208.0
2023-01-03,14230.0
2022-12-30,14134.0
2022-12-29,14032.0
2022-12-28,14110.0
2022-12-27,14303.0
2022-12-26,14245.0
2022-12-23,14190.0
2022-12-22,14377.0
2022-12-21,14165.0
2022-12-20,14154.0
2022-12-19,14404.0
2022-12-16,14461.0
2022-12-15,14708.0
2022-12-14,14710.0
2022-12-13,14519.0
2022-12-12,14581.0
2022-12-09,14707.0
2022-12-08,14496.0
2022-12-07,14623.0
2022-12-06,14675.0
2022-12-05,14935.0
2022-12-02,14886.0
2022-12-01,14977.0
2022-11-30,14800.0
2022-11-29,14658.0
2022-11-28,14475.0
2022-11-25,14703.0
2022-11-24,14775.0
2022-11-23,14600.0
2022-11-22,14505.0
2022-11-21,14428.0
2022-11-18,14460.0
2022-11-17,14513.0
2022-11-16,14497.0
2022-11-15,14530.0
2022-11-14,14127.0
2022-11-11,14058.0
2022-11-10,13477.0
2022-11-09,13595.0
2022-11-08,13334.0
2022-11-07,13224.0
2022-11-04,13030.0
2022-11-03,12958.0
2022-11-02,13083.0
2022-11-01,13031.0
2022-10-31,12943.0
2022-10-28,12764.0
2022-10-27,12956.0
2022-10-26,12739.0
2022-10-25,12682.0
2022-10-24,12882.0
2022-10-21,12805.0
2022-10-20,12900.0
2022-10-19,12964.0
2022-10-18,13103.0
2022-10-17,12981.0
2022-10-14,13166.0
2022-10-13,12869.0
2022-10-12,13076.0
2022-10-11,13091.0
2022-10-07,13689.0
2022-10-06,13869.0
2022-10-05,13820.0
2022-10-04,13597.0
2022-10-03,13304.0
2022-09-30,13395.0
2022-09-29,13524.0
2022-09-28,13515.0
2022-09-27,13818.0
2022-09-26,13758.0
2022-09-23,14119.0
2022-09-22,14242.0
2022-09-21,14410.0
2022-09-20,14561.0
2022-09-19,14420.0
2022-09-16,14483.0
2022-09-15,14642.0
2022-09-14,14577.0
2022-09-13,14875.0
2022-09-12,14794.0
2022-09-08,14548.0
2022-09-07,14359.0
2022-09-06,14634.0
2022-09-05,14611.0
2022-09-02,14597.0
2022-09-01,14736.0
2022-08-31,15039.0
2022-08-30,14948.0
2022-08-29,14818.0
2022-08-26,15241.0
2022-08-25,15172.0
2022-08-24,15035.0
2022-08-23,15028.0
2022-08-22,15175.0
2022-08-19,15353.0
2022-08-18,15315.0
2022-08-17,15379.0
2022-08-16,15422.0
2022-08-15,15387.0
2022-08-12,15272.0
2022-08-11,15183.0
2022-08-10,14876.0
2022-08-09,15016.0
2022-08-08,14961.0
2022-08-05,15009.0
2022-08-04,14658.0
2022-08-03,14669.0
2022-08-02,14643.0
2022-08-01,14870.0
2022-07-29,14938.0
2022-07-28,14831.0
2022-07-27,14794.0
2022-07-26,14705.0
2022-07-25,14794.0
2022-07-22,14751.0
2022-07-21,14748.0
2022-07-20,14616.0
2022-07-19,14678.0
2022-07-18,14650.0
2022-07-15,14475.0
2022-07-14,14389.0
2022-07-13,14277.0
2022-07-12,13914.0
2022-07-11,14276.0
2022-07-08,14329.0
2022-07-07,14176.0
2022-07-06,13871.0
2022-07-05,14231.0
2022-07-04,14152.0
2022-07-01,14175.0
2022-06-30,14622.0
2022-06-29,15019.0
2022-06-28,15192.0
2022-06-27,15277.0
2022-06-24,15058.0
2022-06-23,14938.0
2022-06-22,15012.0
2022-06-21,15334.0
2022-06-20,15038.0
2022-06-17,15200.0
2022-06-16,15410.0
2022-06-15,15546.0
2022-06-14,16055.0
2022-06-13,16053.0
2022-06-10,16471.0
2022-06-09,16582.0
2022-06-08,16644.0
2022-06-07,16462.0
2022-06-06,16600.0
2022-06-02,16532.0
2022-06-01,16610.0
2022-05-31,16682.0
2022-05-30,16560.0
2022-05-27,16230.0
2022-05-26,15950.0
2022-05-25,16060.0
2022-05-24,15926.0
2022-05-23,16147.0
2022-05-20,16135.0
2022-05-19,15911.0
2022-05-18,16196.0
2022-05-17,16075.0
2022-05-16,15921.0
2022-05-13,15851.0
2022-05-12,15632.0
2022-05-11,16010.0
2022-05-10,16039.0
2022-05-09,16027.0
2022-05-06,16355.0
2022-05-05,16684.0
2022-05-04,16519.0
2022-05-03,16470.0
2022-04-29,16583.0
2022-04-28,16387.0
2022-04-27,16285.0
2022-04-26,16586.0
2022-04-25,16572.0
2022-04-22,16992.0
2022-04-21,17126.0
2022-04-20,17071.0
2022-04-19,17000.0
2022-04-18,16881.0
2022-04-15,16983.0
2022-04-14,17298.0
2022-04-13,17316.0
2022-04-12,16999.0
2022-04-11,17039.0
2022-04-08,17316.0
2022-04-07,17143.0
2022-04-06,17506.0
2022-04-01,17554.0
2022-03-31,17639.0
2022-03-30,17741.0
2022-03-29,17545.0
2022-03-28,17438.0
2022-03-25,17621.0
2022-03-24,17671.0
2022-03-23,17702.0
2022-03-22,17520.0
2022-03-21,17489.0
2022-03-18,17391.0
