date,2317,2330,2454,portfolio_value
2023-05-16,102.0,505.0,680.0,1287.0
2023-05-15,102.0,495.5,680.0,1277.5
2023-05-12,102.5,496.0,673.0,1271.5
2023-05-11,105.0,499.0,668.0,1272.0
2023-05-10,106.5,503.0,668.0,1277.5
2023-05-09,106.5,510.0,677.0,1293.5
2023-05-08,105.0,504.0,675.0,1284.0
2023-05-05,105.0,500.0,675.0,1280.0
2023-05-04,105.0,498.0,668.0,1271.0
2023-05-03,105.5,496.0,680.0,1281.5
2023-05-02,106.0,501.0,671.0,1278.0
2023-04-28,104.5,502.0,665.0,1271.5
2023-04-27,103.5,493.5,662.0,1259.0
2023-04-26,103.5,491.5,649.0,1244.0
2023-04-25,103.0,498.0,650.0,1251.0
2023-04-24,103.5,507.0,676.0,1286.5
2023-04-21,104.0,511.0,665.0,1280.0
2023-04-20,104.5,513.0,673.0,1290.5
2023-04-19,104.0,510.0,675.0,1289.0
2023-04-18,104.5,515.0,688.0,1307.5
2023-04-17,104.0,520.0,709.0,1333.0
2023-04-14,104.5,516.0,748.0,1368.5
2023-04-13,103.0,510.0,750.0,1363.0
2023-04-12,102.5,520.0,758.0,1380.5
2023-04-11,103.5,524.0,756.0,1383.5
2023-04-10,103.0,529.0,742.0,1374.0
2023-04-07,103.0,531.0,749.0,1383.0
2023-04-06,103.5,530.0,753.0,1386.5
2023-03-31,104.0,533.0,787.0,1424.0
2023-03-30,104.5,535.0,778.0,1417.5
2023-03-29,103.5,530.0,773.0,1406.5
2023-03-28,103.0,525.0,766.0,1394.0
2023-03-27,103.5,531.0,780.0,1414.5
2023-03-24,105.5,539.0,790.0,1434.5
2023-03-23,103.5,538.0,793.0,1434.5
2023-03-22,103.5,533.0,781.0,1417.5
2023-03-21,103.5,517.0,771.0,1391.5
2023-03-20,102.5,512.0,770.0,1384.5
2023-03-17,103.5,518.0,773.0,1394.5
2023-03-16,102.0,505.0,756.0,1363.0
2023-03-15,102.5,511.0,758.0,1371.5
2023-03-14,102.0,510.0,761.0,1373.0
2023-03-13,103.0,516.0,764.0,1383.0
2023-03-10,102.0,513.0,756.0,1371.0
2023-03-09,102.5,522.0,767.0,1391.5
2023-03-08,104.0,521.0,768.0,1393.0
2023-03-07,105.0,524.0,788.0,1417.0
2023-03-06,103.5,521.0,784.0,1408.5
2023-03-03,102.5,516.0,775.0,1393.5
2023-03-02,102.5,519.0,775.0,1396.5
2023-03-01,102.0,522.0,791.0,1415.0
2023-02-24,101.0,511.0,723.0,1335.0
2023-02-23,103.0,518.0,745.0,1366.0
2023-02-22,102.0,507.0,713.0,1322.0
2023-02-21,102.5,516.0,725.0,1343.5
2023-02-20,103.0,517.0,726.0,1346.0
2023-02-17,103.5,518.0,723.0,1344.5
2023-02-16,103.5,528.0,711.0,1342.5
2023-02-15,102.5,525.0,710.0,1337.5
2023-02-14,102.0,545.0,732.0,1379.0
2023-02-13,101.0,541.0,731.0,1373.0
2023-02-10,101.5,545.0,740.0,1386.5
2023-02-09,101.0,540.0,749.0,1390.0
2023-02-08,100.5,540.0,744.0,1384.5
2023-02-07,100.5,523.0,717.0,1340.5
2023-02-06,101.5,526.0,731.0,1358.5
2023-02-03,99.6,542.0,751.0,1392.6
2023-02-02,100.0,540.0,747.0,1387.0
2023-02-01,100.0,530.0,724.0,1354.0
2023-01-31,99.7,522.0,718.0,1339.7
2023-01-30,98.1,543.0,739.0,1380.1
2023-01-17,98.1,503.0,693.0,1294.1
2023-01-16,98.1,505.0,704.0,1307.1
2023-01-13,98.6,500.0,694.0,1292.6
2023-01-12,98.6,486.5,715.0,1300.1
2023-01-11,99.1,484.5,707.0,1290.6
2023-01-10,99.4,486.0,694.0,1279.4
2023-01-09,99.1,481.0,675.0,1255.1
2023-01-06,98.4,458.5,660.0,1216.9
2023-01-05,98.0,458.5,631.0,1187.5
