Num,Sex,Age,Job,Salery,Merry,Place,Transportation,drinks,price,delivery habits
20,women,20,service,32500,TRUE,Songshan,Bus,WooTea,40,Yes
59,women,20,staff,29500,FALSE,Neihu,drive,TRUEDAN,60,No
74,women,20,staff,36000,FALSE,Wanhua,MRT,Wanpo,35,Yes
95,women,20,service,38500,TRUE,Songshan,Bus,Wanpo,45,No
119,Man,20,service,46000,TRUE,Datong,Scooter,TRUEDAN,45,Yes
274,Man,20,student,26000,FALSE,Songshan,Bus,OtherTeaShop,60,No
294,Man,20,Market,45500,FALSE,Zhongshan,MRT,WooTea,35,No
298,Man,20,Market,56500,TRUE,Wanhua,MRT,KEBUKE,60,No
316,Man,20,staff,35500,TRUE,Wanhua,MRT,WooTea,50,Yes
400,women,20,staff,39000,FALSE,Da’an,Bus,Ching-Shin Fu-Chuan,60,No
458,women,20,staff,70500,TRUE,Nangang,MRT,JOHN TEA COMPANY,65,No
481,women,20,staff,56000,TRUE,Da’an,MRT,Chunshuitang,70,No
492,Man,20,staff,40000,FALSE,Wenshan,MRT,50 Arashi,45,No
498,Man,20,service,39500,FALSE,Beitou,Bus,Guiji,40,No
514,women,20,staff,43000,FALSE,Shilin,drive,50 Arashi,40,No
528,Man,20,Market,39000,FALSE,Zhongzheng,drive,KEBUKE,55,No
540,Man,20,staff,56500,FALSE,Wenshan,Scooter,Wanpo,70,No
561,women,20,financial,41000,FALSE,Shilin,MRT,Wanpo,35,No
576,Man,20,teacher,40000,FALSE,Datong,MRT,JOHN TEA COMPANY,70,No
609,Man,20,staff,43500,FALSE,Beitou,Scooter,KEBUKE,45,Yes
610,Man,20,staff,29500,TRUE,Datong,Scooter,Guiji,50,No
615,women,20,service,38000,FALSE,Neihu,Scooter,50 Arashi,40,No
618,women,20, retail,36000,TRUE,Songshan,Scooter,Guiji,45,Yes
721,Man,20,financial,35500,FALSE,Nangang,MRT,CoCo,70,Yes
726,women,20,staff,31000,FALSE,Wanhua,Bus,Ching-Shin Fu-Chuan,45,No
737,women,20,student,12500,FALSE,Da’an,Scooter,TRUEDAN,40,No
743,Man,20,Market,51000,TRUE,Zhongshan,drive,OtherTeaShop,70,Yes
756,women,20, retail,44000,FALSE,Zhongshan,Scooter,Tenren's Tea,35,No
765,Man,20,police,47000,FALSE,Zhongshan,Bus,Tenren's Tea,60,No
768,women,20,staff,29500,TRUE,Wanhua,Bus,CoCo,45,No
774,women,20,financial,38500,FALSE,Zhongshan,Bus,Wanpo,70,No
