"113年03月 1101 台泥             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"113/03/01","16,170,103","518,113,513","32.15","32.25","31.95","32.05","-0.05","9,899",
"113/03/04","12,399,827","398,050,660","32.05","32.30","32.00","32.05"," 0.00","7,023",
"113/03/05","11,197,573","359,162,999","32.10","32.25","32.00","32.00","-0.05","6,252",
"113/03/06","17,812,634","569,391,934","32.00","32.10","31.90","32.00"," 0.00","10,949",
"113/03/07","13,784,643","440,448,016","32.00","32.10","31.85","32.00"," 0.00","8,424",
"113/03/08","16,009,442","511,541,865","32.00","32.15","31.85","31.85","-0.15","10,838",
"113/03/11","17,483,436","554,623,839","31.85","31.85","31.60","31.80","-0.05","11,239",
"113/03/12","10,205,021","325,664,261","31.80","32.00","31.75","32.00","+0.20","5,896",
"113/03/13","15,369,093","488,373,439","31.85","31.95","31.70","31.70","-0.30","9,893",
"113/03/14","12,087,491","384,993,688","31.70","32.00","31.70","32.00","+0.30","6,456",
"113/03/15","26,975,719","862,458,750","31.90","32.15","31.85","31.95","-0.05","6,816",
"113/03/18","15,866,068","503,080,222","31.95","31.95","31.60","31.70","-0.25","11,037",
"113/03/19","24,394,412","767,624,499","31.65","31.70","31.40","31.40","-0.30","16,282",
"113/03/20","30,649,972","949,004,451","31.40","31.45","30.80","30.90","-0.50","23,135",
"113/03/21","22,155,727","698,668,194","31.40","31.80","31.25","31.50","+0.60","10,255",
"113/03/22","18,817,982","586,216,523","31.25","31.45","31.05","31.15","-0.35","10,521",
"113/03/25","10,249,931","318,885,322","31.10","31.25","31.00","31.10","-0.05","6,526",
"113/03/26","11,622,826","365,711,750","31.10","31.60","31.05","31.55","+0.45","7,234",
"113/03/27","12,005,697","380,286,027","31.35","31.90","31.35","31.70","+0.15","6,627",
"113/03/28","12,759,528","405,142,634","31.70","31.90","31.50","31.70"," 0.00","5,308",
"113/03/29","19,741,078","629,536,579","31.70","32.15","31.70","32.15","+0.45","6,587",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

