Date,Open,High,Low,Close,Adj Close,Volume,sma,rsi,ma,std_dev,upperband,lowerband
2023-01-03,446.0,453.5,443.0,453.0,439.89453125,14885824,543.4519,543.4519,543.4519,543.4519,567.5149,521.2164
2023-01-04,449.5,455.0,448.5,449.5,436.4957580566406,19188422,543.4519,543.4519,543.4519,543.4519,567.5149,521.2164
2023-01-05,459.0,459.5,455.0,458.5,445.23541259765625,23549581,543.4519,543.4519,543.4519,543.4519,567.5149,521.2164
2023-01-06,455.0,459.5,455.0,458.5,445.23541259765625,20886011,543.4519,543.4519,543.4519,543.4519,567.5149,521.2164
2023-01-09,468.0,481.0,467.5,481.0,467.08441162109375,46666263,543.4519,543.4519,543.4519,543.4519,567.5149,521.2164
2023-01-10,486.0,487.0,483.0,486.0,471.9397888183594,32646014,543.4519,543.4519,543.4519,543.4519,567.5149,521.2164
2023-01-11,487.0,488.0,482.0,484.5,470.4831848144531,21051115,543.4519,543.4519,543.4519,543.4519,567.5149,521.2164
2023-01-12,487.5,488.0,484.0,486.5,472.42535400390625,20963689,543.4519,543.4519,543.4519,543.4519,567.5149,521.2164
2023-01-13,507.0,509.0,499.0,500.0,485.5347900390625,77606949,543.4519,543.4519,543.4519,543.4519,567.5149,521.2164
2023-01-16,506.0,508.0,503.0,505.0,490.3901062011719,34373918,543.4519,543.4519,543.4519,543.4519,567.5149,521.2164
2023-01-17,504.0,504.0,499.5,503.0,488.447998046875,27770329,543.4519,543.4519,543.4519,543.4519,567.5149,521.2164
2023-01-30,542.0,543.0,534.0,543.0,527.2907104492188,124428936,543.4519,543.4519,543.4519,543.4519,567.5149,521.2164
2023-01-31,537.0,538.0,521.0,522.0,506.8982849121094,72530854,543.4519,543.4519,543.4519,543.4519,567.5149,521.2164
2023-02-01,532.0,533.0,522.0,530.0,514.6668701171875,33710990,543.4519,543.4519,543.4519,543.4519,567.5149,521.2164
2023-02-02,538.0,542.0,537.0,540.0,524.3776245117188,43077053,543.4519,543.4519,543.4519,543.4519,567.5149,521.2164
2023-02-03,540.0,542.0,536.0,542.0,526.3197021484375,31635865,543.4519,543.4519,543.4519,543.4519,567.5149,521.2164
2023-02-06,532.0,533.0,526.0,526.0,510.7825927734375,30870136,543.4519,543.4519,543.4519,543.4519,567.5149,521.2164
2023-02-07,524.0,528.0,522.0,523.0,507.8693542480469,23481767,543.4519,543.4519,543.4519,543.4519,567.5149,521.2164
2023-02-08,538.0,540.0,534.0,540.0,524.3776245117188,35096191,543.4519,543.4519,543.4519,543.4519,567.5149,521.2164
2023-02-09,540.0,540.0,536.0,540.0,524.3776245117188,18861972,503.575,74.0331,503.575,32.4148,567.5149,521.2164
2023-02-10,544.0,546.0,541.0,545.0,529.2329711914062,28495684,508.175,74.7312,508.175,31.371,570.917,445.433
2023-02-13,544.0,544.0,538.0,541.0,525.3486328125,22768977,512.75,74.5308,512.75,28.9416,570.6332,454.8668
2023-02-14,544.0,546.0,543.0,545.0,529.2329711914062,21883297,517.075,73.8292,517.075,26.7912,570.6574,463.4926
2023-02-15,526.0,532.0,522.0,525.0,509.81158447265625,61796793,520.4,66.5012,520.4,22.9969,566.3938,474.4062
2023-02-16,528.0,531.0,524.0,528.0,512.7247314453125,29975138,522.75,62.9121,522.75,21.0804,564.9108,480.5892
2023-02-17,524.0,524.0,516.0,518.0,503.0140380859375,28121975,524.35,58.5561,524.35,19.2819,562.9138,485.7862
2023-02-20,514.0,519.0,511.0,517.0,502.0429992675781,20065156,525.975,58.7131,525.975,16.9787,559.9324,492.0176
2023-02-21,515.0,517.0,513.0,516.0,501.0718688964844,13504100,527.45,57.9515,527.45,14.464,556.378,498.522
2023-02-22,506.0,509.0,505.0,507.0,492.3322448730469,24575245,527.8,51.9337,527.8,13.8359,555.4718,500.1282
2023-02-23,512.0,521.0,510.0,518.0,503.0140380859375,25376835,528.45,53.4759,528.45,12.9877,554.4254,502.4746
2023-02-24,524.0,525.0,511.0,511.0,496.2165222167969,41692491,528.85,52.0833,528.85,12.2658,553.3816,504.3184
2023-03-01,504.0,522.0,504.0,522.0,506.8982849121094,39560848,527.8,43.5583,527.8,11.8836,551.5672,504.0328
