ID,地區,年月,複數原告,複數被告,賠償金額,總賠償金額,PDF
"CCEV,110,潮原簡,46,20220425,1",屏東,2022年04月,是,否,"[35090, 30895, 62747, 217150]",345882,https://data.judicial.gov.tw/opendl/JDocFile/CCEV/110%2c%e6%bd%ae%e5%8e%9f%e7%b0%a1%2c46%2c20220425%2c1.pdf
"CCEV,110,潮原簡,47,20221205,1",屏東,2022年12月,否,否,[],0,https://data.judicial.gov.tw/opendl/JDocFile/CCEV/110%2c%e6%bd%ae%e5%8e%9f%e7%b0%a1%2c47%2c20221205%2c1.pdf
"CCEV,110,潮原簡,50,20220406,1",屏東,2022年04月,是,否,"[503708, 356518]",860226,https://data.judicial.gov.tw/opendl/JDocFile/CCEV/110%2c%e6%bd%ae%e5%8e%9f%e7%b0%a1%2c50%2c20220406%2c1.pdf
"CCEV,110,潮簡,114,20220321,1",屏東,2022年03月,否,否,[293048],293048,https://data.judicial.gov.tw/opendl/JDocFile/CCEV/110%2c%e6%bd%ae%e7%b0%a1%2c114%2c20220321%2c1.pdf
"CCEV,110,潮簡,115,20220110,1",屏東,2022年01月,否,否,[494814],494814,
"CCEV,110,潮簡,264,20220121,1",屏東,2022年01月,否,否,[95922],95922,
"CCEV,110,潮簡,297,20220217,1",屏東,2022年02月,否,否,[167252],167252,https://data.judicial.gov.tw/opendl/JDocFile/CCEV/110%2c%e6%bd%ae%e7%b0%a1%2c297%2c20220217%2c1.pdf
"CCEV,110,潮簡,372,20230522,1",屏東,2023年05月,否,否,[107840],107840,https://data.judicial.gov.tw/opendl/JDocFile/CCEV/110%2c%e6%bd%ae%e7%b0%a1%2c372%2c20230522%2c1.pdf
"CCEV,110,潮簡,444,20220117,1",屏東,2022年01月,否,否,[121610],121610,
"CCEV,110,潮簡,596,20220315,1",屏東,2022年03月,是,否,"[2101296, 1210000, 1136258]",4447554,https://data.judicial.gov.tw/opendl/JDocFile/CCEV/110%2c%e6%bd%ae%e7%b0%a1%2c596%2c20220315%2c1.pdf
"CCEV,110,潮簡,678,20220331,1",屏東,2022年03月,否,否,[],0,https://data.judicial.gov.tw/opendl/JDocFile/CCEV/110%2c%e6%bd%ae%e7%b0%a1%2c678%2c20220331%2c1.pdf
"CCEV,111,潮原小,16,20221017,1",屏東,2022年10月,否,否,[8074],8074,https://data.judicial.gov.tw/opendl/JDocFile/CCEV/111%2c%e6%bd%ae%e5%8e%9f%e5%b0%8f%2c16%2c20221017%2c1.pdf
"CCEV,111,潮原小,17,20230220,1",屏東,2023年02月,否,否,[34463],34463,https://data.judicial.gov.tw/opendl/JDocFile/CCEV/111%2c%e6%bd%ae%e5%8e%9f%e5%b0%8f%2c17%2c20230220%2c1.pdf
