"Plant","Workstation Code","Code","Step Name (English)","Step Name (Chinese)"
"CH1","RM","RM-Proc","Material Procurement","材料採購"
"CH1","RM","RM-QC","Incoming Material Quality Control","來料檢驗"
"CH1","RM","RM-QC-PL","Plastic Material Inspection","塑料材料檢驗"
"CH1","RM","RM-QC-MT","Metal Material Inspection","金屬材料檢驗"
"CH1","RM","RM-QC-MOT","Motor Inspection","電機檢驗"
"CH1","PC","PC-Blade","Blade Manufacturing","葉片製造"
"CH1","PC","PC-Blade-IM","Injection Molding","注塑成型"
"CH1","PC","PC-Blade-Press","Pressing/Stamping","沖壓或金屬加工"
"CH1","PC","PC-Housing","Housing Manufacturing","外殼製造"
"CH1","PC","PC-Housing-IM","Injection Molding","外殼注塑"
"CH1","PC","PC-Housing-Cast","Casting","壓鑄"
"CH1","PC","PC-Motor","Motor Manufacturing","電機製作"
"CH1","PC","PC-Motor-Wind","Motor Winding","繞線"
"CH1","PC","PC-Motor-Assembly","Motor Assembly","電機組裝"
"CH1","PC","PC-Circuit","Circuit Board Assembly","電路板組裝"
"CH1","PC","PC-Circuit-Solder","Soldering","焊接"
"CH1","PC","PC-Circuit-Test","Circuit Testing","電路板測試"
"CH1","AS","AS-MotorBlade","Motor and Blade Assembly","電機與葉片安裝"
"CH1","AS","AS-MotorFix","Motor Fixing","電機固定"
"CH1","AS","AS-BladeFix","Blade Fixing","葉片安裝"
"CH1","AS","AS-Control","Control System Assembly","控制系統安裝"
"CH1","AS","AS-Wiring","Wiring","接線"
"CH1","AS","AS-Switch","Switch Installation","安裝開關"
"CH1","AS","AS-SpeedControl","Speed Control Installation","安裝調速器"
"CH1","AS","AS-PreTest","Preliminary Function Test","初步功能測試"
"CH1","AS","AS-PreTest-Run","Motor Run Test","電機運行測試"
"CH1","AS","AS-PreTest-Speed","Speed Adjustment Test","風速調節測試"
"CH1","QC","QC-RunTest","Running Test","運行測試"
"CH1","QC","QC-RunTest-Function","Function Test","功能測試"
"CH1","QC","QC-RunTest-Smoothness","Smoothness Test","運行平穩性測試"
"CH1","QC","QC-Electrical","Electrical Safety Test","電氣安全檢測"
"CH1","QC","QC-Electrical-Short","Short Circuit Test","短路測試"
"CH1","QC","QC-Electrical-Overload","Overload Test","過載測試"
"CH1","QC","QC-Electrical-Voltage","Voltage Test","電壓測試"
"CH1","QC","QC-Appearance","Appearance Inspection","外觀檢查"
"CH1","QC","QC-Appearance-Scratch","Scratch Check","表面劃痕檢查"
"CH1","QC","QC-Appearance-Logo","Logo Check","標誌檢查"
"CH1","QC","QC-SoundVib","Sound and Vibration Test","噪音與振動測試"
"CH1","QC","QC-SoundTest","Noise Test","噪音測試"
"CH1","QC","QC-VibrationTest","Vibration Test","振動測試"
"CH1","FP","FP-FinalQC","Final Quality Check","最終質量檢查"
"CH1","FP","FP-FinalQC-Performance","Performance Check","性能檢查"
"CH1","FP","FP-FinalQC-Visual","Visual Inspection","視覺檢查"
"CH1","FP","FP-Pack","Packing","包裝準備"
"CH1","FP","FP-Pack-Box","Boxing","裝箱"
"CH1","FP","FP-Pack-Label","Labeling","標籤貼附"
"CH1","FP","FP-Pack-Manual","Manual Insertion","說明書插入"
"CH2","RM","RM-Proc","Material Procurement","材料採購"
"CH2","RM","RM-QC","Incoming Material Quality Control","來料檢驗"
"CH2","RM","RM-QC-PL","Plastic Material Inspection","塑料材料檢驗"
"CH2","RM","RM-QC-MT","Metal Material Inspection","金屬材料檢驗"
"CH2","RM","RM-QC-MOT","Motor Inspection","電機檢驗"
"CH2","PC","PC-Blade","Blade Manufacturing","葉片製造"
"CH2","PC","PC-Blade-IM","Injection Molding","注塑成型"
"CH2","PC","PC-Blade-Press","Pressing/Stamping","沖壓或金屬加工"
"CH2","PC","PC-Housing","Housing Manufacturing","外殼製造"
"CH2","PC","PC-Housing-IM","Injection Molding","外殼注塑"
"CH2","PC","PC-Housing-Cast","Casting","壓鑄"
"CH2","PC","PC-Motor","Motor Manufacturing","電機製作"
"CH2","PC","PC-Motor-Wind","Motor Winding","繞線"
"CH2","PC","PC-Motor-Assembly","Motor Assembly","電機組裝"
"CH2","PC","PC-Circuit","Circuit Board Assembly","電路板組裝"
"CH2","PC","PC-Circuit-Solder","Soldering","焊接"
"CH2","PC","PC-Circuit-Test","Circuit Testing","電路板測試"
"CH2","AS","AS-MotorBlade","Motor and Blade Assembly","電機與葉片安裝"
"CH2","AS","AS-MotorFix","Motor Fixing","電機固定"
"CH2","AS","AS-BladeFix","Blade Fixing","葉片安裝"
"CH2","AS","AS-Control","Control System Assembly","控制系統安裝"
"CH2","AS","AS-Wiring","Wiring","接線"
"CH2","AS","AS-Switch","Switch Installation","安裝開關"
"CH2","AS","AS-SpeedControl","Speed Control Installation","安裝調速器"
"CH2","AS","AS-PreTest","Preliminary Function Test","初步功能測試"
"CH2","AS","AS-PreTest-Run","Motor Run Test","電機運行測試"
"CH2","AS","AS-PreTest-Speed","Speed Adjustment Test","風速調節測試"
"CH2","QC","QC-RunTest","Running Test","運行測試"
"CH2","QC","QC-RunTest-Function","Function Test","功能測試"
"CH2","QC","QC-RunTest-Smoothness","Smoothness Test","運行平穩性測試"
"CH2","QC","QC-Electrical","Electrical Safety Test","電氣安全檢測"
"CH2","QC","QC-Electrical-Short","Short Circuit Test","短路測試"
"CH2","QC","QC-Electrical-Overload","Overload Test","過載測試"
"CH2","QC","QC-Electrical-Voltage","Voltage Test","電壓測試"
"CH2","QC","QC-Appearance","Appearance Inspection","外觀檢查"
"CH2","QC","QC-Appearance-Scratch","Scratch Check","表面劃痕檢查"
"CH2","QC","QC-Appearance-Logo","Logo Check","標誌檢查"
"CH2","QC","QC-SoundVib","Sound and Vibration Test","噪音與振動測試"
"CH2","QC","QC-SoundTest","Noise Test","噪音測試"
"CH2","QC","QC-VibrationTest","Vibration Test","振動測試"
"CH2","FP","FP-FinalQC","Final Quality Check","最終質量檢查"
"CH2","FP","FP-FinalQC-Performance","Performance Check","性能檢查"
"CH2","FP","FP-FinalQC-Visual","Visual Inspection","視覺檢查"
"CH2","FP","FP-Pack","Packing","包裝準備"
"CH2","FP","FP-Pack-Box","Boxing","裝箱"
"TW1","FP","FP-Pack-Label","Labeling","標籤貼附"
"CH1","RM","RM-Proc","Material Procurement","材料採購"
"CH1","RM","RM-QC","Incoming Material Quality Control","來料檢驗"
"CH1","RM","RM-QC-PL","Plastic Material Inspection","塑料材料檢驗"
