站名,可借,可還,更新時間
YouBike2.0_捷運科技大樓站,1,27,2022-02-18 09:21:04
YouBike2.0_復興南路二段273號前,0,15,2022-02-18 08:44:03
YouBike2.0_國北教大實小東側門,0,16,2022-02-18 09:21:04
YouBike2.0_和平公園東側,0,11,2022-02-18 08:27:04
YouBike2.0_辛亥復興路口西北側,0,15,2022-02-18 09:10:32
YouBike2.0_復興南路二段280號前,2,9,2022-02-18 09:21:04
YouBike2.0_復興南路二段340巷口,0,11,2022-02-18 09:02:04
YouBike2.0_新生南路三段52號前,0,17,2022-02-18 09:10:32
YouBike2.0_新生南路三段66號前,2,14,2022-02-18 09:07:12
YouBike2.0_新生南路三段82號前,2,17,2022-02-18 09:14:11
YouBike2.0_羅斯福路三段333巷9號旁,0,7,2021-12-11 09:31:03
YouBike2.0_辛亥路一段30號前,0,8,2022-02-18 07:48:03
YouBike2.0_和平復興路口西北側,0,9,2022-02-18 09:04:03
YouBike2.0_羅斯福路三段311號前,0,11,2022-02-18 09:10:32
YouBike2.0_大安運動中心停車場,1,13,2022-02-18 09:10:32
YouBike2.0_羅斯福路三段245號前,0,8,2022-02-18 07:42:04
YouBike2.0_羅斯福路三段269巷5號前,0,10,2022-01-19 09:31:03
YouBike2.0_溫州公園,0,5,2022-02-18 09:05:22
YouBike2.0_和平臥龍街口,3,12,2022-02-18 09:18:13
YouBike2.0_溫州停車場,2,3,2022-02-18 09:11:12
YouBike2.0_銘傳國小側門,1,6,2022-02-18 08:58:11
YouBike2.0_捷運公館站(2號出口),0,60,2022-02-18 09:21:04
YouBike2.0_第二學生活動中心,1,26,2022-02-18 09:13:03
YouBike2.0_臺灣科技大學正門,3,27,2022-02-18 09:13:12
YouBike2.0_臺灣科技大學側門,7,28,2022-02-18 09:18:13
YouBike2.0_公館公園,7,8,2022-02-18 09:09:11
YouBike2.0_臺灣科技大學後門,20,19,2022-02-18 09:18:13
YouBike2.0_臺大醫學院附設癌醫中心,12,8,2022-02-18 09:14:11
YouBike2.0_臺大環研大樓,6,9,2022-02-18 09:16:08
YouBike2.0_臺大永齡生醫工程館,8,26,2022-02-18 09:09:11
YouBike2.0_臺大男七舍前,5,15,2022-02-18 09:19:12
YouBike2.0_臺大男一舍前,0,61,2022-02-18 09:02:04
YouBike2.0_臺大男六舍前,0,46,2022-02-18 09:16:03
YouBike2.0_臺大動物醫院前,16,2,2022-02-18 09:18:13
YouBike2.0_臺大土木研究大樓前,11,0,2022-02-18 09:21:04
YouBike2.0_臺大萬才館前,8,12,2022-02-18 09:19:12
YouBike2.0_臺大國青大樓宿舍前,3,17,2022-02-18 09:18:13
YouBike2.0_臺大社科院圖書館前,6,21,2022-02-18 09:07:12
YouBike2.0_臺大法人語言訓練中心前,13,15,2022-02-18 09:18:13
YouBike2.0_臺大綜合體育館停車場前,0,25,2022-02-18 09:12:04
YouBike2.0_辛亥新生路口東南側,0,19,2022-02-18 08:57:04
YouBike2.0_基隆長興路口東側,1,14,2022-02-18 09:21:04
YouBike2.0_國北教大側門南側,3,22,2022-02-18 09:19:12
YouBike2.0_和平實小東北側,3,10,2022-02-18 09:10:40
YouBike2.0_大安區健康服務中心,1,14,2022-02-18 08:58:11
YouBike2.0_辛亥泰順街口,0,20,2022-02-18 09:16:03
YouBike2.0_芳和國中,12,16,2022-02-18 09:19:12
YouBike2.0_辛亥基隆路口,0,20,2021-11-01 14:46:03
YouBike2.0_臥龍樂業街口,6,13,2022-02-18 09:00:41
YouBike2.0_臥龍公園,8,6,2022-02-18 08:44:11
YouBike2.0_嘉興公園,2,18,2022-02-18 09:19:12
YouBike2.0_捷運麟光站(2號出口),9,16,2022-02-18 08:53:12
YouBike2.0_捷運六張犁站,0,18,2022-02-18 09:18:04
YouBike2.0_喬治工商,7,9,2022-02-18 09:06:12
YouBike2.0_法治公園,3,12,2022-02-18 08:18:14
YouBike2.0_捷運臺電大樓站(2號出口),0,14,2022-02-18 09:02:04
YouBike2.0_和平金山路口,5,27,2022-02-18 08:52:11
YouBike2.0_和平龍泉街口,7,10,2022-02-18 09:18:13
